all_gather
0	0	0	0	0
32	0	0	0	0
64	0	0	0	0
128	0	0	0	0
256	0	0.01	0.01	0
512	0.01	0.02	0.01	0.01
1024	0.02	0.03	0.03	0.02
2048	0.03	0.06	0.06	0.03
4096	0.07	0.12	0.11	0.07
8192	0.13	0.24	0.22	0.13
16384	0.25	0.42	0.40	0.27
32768	0.49	0.78	0.76	0.49
65536	0.93	1.27	1.45	0.96
131072	1.52	1.67	2.21	1.87
262144	2.32	2.54	2.51	3.58
524288	4.53	4.95	4.94	4.50
1048576	7.52	9.83	9.57	4.92
2097152	9.82	16.73	19.46	16.90
4194304	15.24	22.52	32.49	32.33
8388608	17.36	28.59	47.16	54.11
16777216	18.42	29.44	61.82	79.85
33554432	15.75	32.72	74.30	99.52
67108864	16.86	32.97	78.15	112.98
134217728	17.36	34.42	85.07	117.54
268435456	17.66	35.10	86.48	118.94
536870912	17.76	35.45	88.41	121.46
1073741824	17.81	35.53	88.96	122.76

all_reduce
8	0	0	0	0
16	0	0	0	0
32	0	0	0	0
64	0	0	0	0
128	0	0.01	0.01	0.01
256	0.01	0.01	0.01	0.01
512	0.02	0.03	0.03	0.02
1024	0.04	0.05	0.05	0.05
2048	0.07	0.10	0.10	0.09
4096	0.13	0.16	0.16	0.17
8192	0.24	0.35	0.38	0.29
16384	0.40	0.69	0.72	0.64
32768	0.52	1.12	1.29	1.19
65536	0.52	1.41	2.02	1.73
131072	2.02	2.54	3.23	2.96
262144	3.10	5.25	5.54	4.92
524288	5.82	9.73	9.75	7.27
1048576	9.44	15.16	16.22	12.57
2097152	12.50	22.11	25.84	20.90
4194304	15.31	32.51	38.35	30.30
8388608	16.18	41.35	53.98	44.69
16777216	16.67	50.56	66.07	60.90
33554432	17.59	46.25	77.29	106.94
67108864	17.57	34.62	82.54	117.69
134217728	17.72	35.22	87.02	119.87
268435456	17.78	35.44	90.17	121.62
536870912	17.83	35.54	92.41	122.90
1073741824	17.84	35.60	93.73	123.60

alltoall
0	0	0	0	0
8	0	0	0	0
16	0	0	0	0
32	0	0	0	0
64	0	0	0	0
128	0	0	0	0
256	0	0.01	0.01	0
512	0.01	0.01	0.01	0.01
1024	0.02	0.02	0.02	0.02
2048	0.03	0.05	0.05	0.04
4096	0.06	0.09	0.09	0.08
8192	0.12	0.17	0.19	0.16
16384	0.25	0.33	0.37	0.30
32768	0.48	0.72	0.70	0.63
65536	0.91	1.37	1.48	1.22
131072	1.58	2.55	2.87	2.53
262144	2.55	4.51	5.22	4.82
524288	3.95	6.89	8.39	8.68
1048576	5.49	10.32	12.95	13.77
2097152	6.97	14	16.31	17.29
4194304	9.10	16.95	21.24	21.11
8388608	10.32	20.10	22.95	25.51
16777216	11.21	21.85	25.36	26.78
33554432	11.66	22.87	25.89	28.22
67108864	11.89	23.48	25.96	28.68
134217728	12.57	23.70	26.01	28.97
268435456	12.70	23.95	26.27	29.14
536870912	12.74	24.11	26.42	29.02
1073741824	12.86	24.12	26.36	29.07

alltoallv
0	0	0	0	0
8	0	0	0	0
16	0	0	0	0
32	0	0	0	0
64	0	0	0	0
128	0	0	0	0
256	0	0	0	0
512	0	0	0	0
1024	0	0	0	0
2048	0	0	0	0
4096	0	0	0	0
8192	0	0	0	0
16384	0	0	0	0
32768	0	0	0	0
65536	0	0	0	0
131072	0	0	0	0
262144	0	0	0	0
524288	0	0	0	0
1048576	0	0	0	0
2097152	0	0	0	0
4194304	0	0	0	0
8388608	0	0	0	0
16777216	0	0	0	0
33554432	0	0	0	0
67108864	0	0	0	0
134217728	0	0	0	0
